name                             component                               version
aa9a07a125a7c8547be96678bf7e9281 aws-opensearch-coral-network-plugin     3.3.0
aa9a07a125a7c8547be96678bf7e9281 aws-opensearch-network-core-plugin      3.3.0
aa9a07a125a7c8547be96678bf7e9281 aws-opensearch-network-plugin           3.3.0
aa9a07a125a7c8547be96678bf7e9281 aws-opensearch-network-security-plugin  3.3.0
aa9a07a125a7c8547be96678bf7e9281 cache-ehcache                           3.3.0
aa9a07a125a7c8547be96678bf7e9281 crypto-kms                              3.3.0
aa9a07a125a7c8547be96678bf7e9281 discovery-ec2                           3.3.0
aa9a07a125a7c8547be96678bf7e9281 elasticsearch-aes-iam                   3.3.0
aa9a07a125a7c8547be96678bf7e9281 elasticsearch-aes-remote-reindex        3.3.0
aa9a07a125a7c8547be96678bf7e9281 ingest-attachment                       3.3.0
aa9a07a125a7c8547be96678bf7e9281 kraken                                  unspecified
aa9a07a125a7c8547be96678bf7e9281 kraken-index-management-extension       x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 mapper-murmur3                          3.3.0
aa9a07a125a7c8547be96678bf7e9281 mapper-size                             3.3.0
aa9a07a125a7c8547be96678bf7e9281 opensearch-alerting                     x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-analysis-vietnamese          3.3.0
aa9a07a125a7c8547be96678bf7e9281 opensearch-anomaly-detection            x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-asynchronous-search          x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-cross-cluster                3.3.0
aa9a07a125a7c8547be96678bf7e9281 opensearch-cross-cluster-replication    x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-custom-codecs                x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-flow-framework               x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-geospatial                   x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-index-management             x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-job-scheduler                x.x.x.x
aa9a07a125a7c8547be96678bf7e9281 opensearch-knn                          x.x.x.x
